Timestamp,Time,,,,Kp,Ap,,even_index
2023 01 01,0,1.5,33238,33238.0625,2.333,9,1,TRUE
2023 01 01,6,7.5,33238.25,33238.3125,2,7,1,TRUE
2023 01 01,12,13.5,33238.5,33238.5625,1.667,6,1,TRUE
2023 01 01,18,19.5,33238.75,33238.8125,3.667,22,1,TRUE
2023 01 02,0,1.5,33239,33239.0625,2,7,1,TRUE
2023 01 02,6,7.5,33239.25,33239.3125,1,4,1,TRUE
2023 01 02,12,13.5,33239.5,33239.5625,1.333,5,1,TRUE
2023 01 02,18,19.5,33239.75,33239.8125,2,7,1,TRUE
2023 01 03,0,1.5,33240,33240.0625,1.333,5,1,TRUE
2023 01 03,6,7.5,33240.25,33240.3125,0.667,3,1,TRUE
2023 01 03,12,13.5,33240.5,33240.5625,1,4,1,TRUE
2023 01 03,18,19.5,33240.75,33240.8125,2.333,9,1,TRUE
2023 01 04,0,1.5,33241,33241.0625,4,27,1,TRUE
2023 01 04,6,7.5,33241.25,33241.3125,4.333,32,1,TRUE
2023 01 04,12,13.5,33241.5,33241.5625,3.333,18,1,TRUE
2023 01 04,18,19.5,33241.75,33241.8125,1.667,6,1,TRUE
2023 01 05,0,1.5,33242,33242.0625,0.333,2,1,TRUE
2023 01 05,6,7.5,33242.25,33242.3125,1,4,1,TRUE
2023 01 05,12,13.5,33242.5,33242.5625,2.667,12,1,TRUE
2023 01 05,18,19.5,33242.75,33242.8125,2.667,12,1,TRUE
2023 01 06,0,1.5,33243,33243.0625,1,4,1,TRUE
2023 01 06,6,7.5,33243.25,33243.3125,0.333,2,1,TRUE
2023 01 06,12,13.5,33243.5,33243.5625,1,4,1,TRUE
2023 01 06,18,19.5,33243.75,33243.8125,1.333,5,1,TRUE
2023 01 07,0,1.5,33244,33244.0625,1,4,1,TRUE
2023 01 07,6,7.5,33244.25,33244.3125,1,4,1,TRUE
2023 01 07,12,13.5,33244.5,33244.5625,0.333,2,1,TRUE
2023 01 07,18,19.5,33244.75,33244.8125,2.333,9,1,TRUE
2023 01 08,0,1.5,33245,33245.0625,2,7,1,TRUE
2023 01 08,6,7.5,33245.25,33245.3125,2,7,1,TRUE
2023 01 08,12,13.5,33245.5,33245.5625,3,15,1,TRUE
2023 01 08,18,19.5,33245.75,33245.8125,1,4,1,TRUE
2023 01 09,0,1.5,33246,33246.0625,1.667,6,1,TRUE
2023 01 09,6,7.5,33246.25,33246.3125,0.333,2,1,TRUE
2023 01 09,12,13.5,33246.5,33246.5625,0.667,3,1,TRUE
2023 01 09,18,19.5,33246.75,33246.8125,2,7,1,TRUE
2023 01 10,0,1.5,33247,33247.0625,0.667,3,1,TRUE
2023 01 10,6,7.5,33247.25,33247.3125,0.667,3,1,TRUE
2023 01 10,12,13.5,33247.5,33247.5625,2,7,1,TRUE
2023 01 10,18,19.5,33247.75,33247.8125,1.667,6,1,TRUE
2023 01 11,0,1.5,33248,33248.0625,1.667,6,1,TRUE
2023 01 11,6,7.5,33248.25,33248.3125,1.667,6,1,TRUE
2023 01 11,12,13.5,33248.5,33248.5625,1,4,1,TRUE
2023 01 11,18,19.5,33248.75,33248.8125,2.333,9,1,TRUE
2023 01 12,0,1.5,33249,33249.0625,3,15,1,TRUE
2023 01 12,6,7.5,33249.25,33249.3125,2,7,1,TRUE
2023 01 12,12,13.5,33249.5,33249.5625,2,7,1,TRUE
2023 01 12,18,19.5,33249.75,33249.8125,1.667,6,1,TRUE
2023 01 13,0,1.5,33250,33250.0625,2.333,9,1,TRUE
2023 01 13,6,7.5,33250.25,33250.3125,2,7,1,TRUE
2023 01 13,12,13.5,33250.5,33250.5625,2.333,9,1,TRUE
2023 01 13,18,19.5,33250.75,33250.8125,3.333,18,1,TRUE
2023 01 14,0,1.5,33251,33251.0625,3,15,1,TRUE
2023 01 14,6,7.5,33251.25,33251.3125,2.333,9,1,TRUE
2023 01 14,12,13.5,33251.5,33251.5625,0.667,3,1,TRUE
2023 01 14,18,19.5,33251.75,33251.8125,1.667,6,1,TRUE
2023 01 15,0,1.5,33252,33252.0625,4.667,39,1,TRUE
2023 01 15,6,7.5,33252.25,33252.3125,3.667,22,1,TRUE
2023 01 15,12,13.5,33252.5,33252.5625,3.667,22,1,TRUE
2023 01 15,18,19.5,33252.75,33252.8125,4,27,1,TRUE
2023 01 16,0,1.5,33253,33253.0625,4,27,1,TRUE
2023 01 16,6,7.5,33253.25,33253.3125,3,15,1,TRUE
2023 01 16,12,13.5,33253.5,33253.5625,3.333,18,1,TRUE
2023 01 16,18,19.5,33253.75,33253.8125,1.667,6,1,TRUE
2023 01 17,0,1.5,33254,33254.0625,0,0,1,TRUE
2023 01 17,6,7.5,33254.25,33254.3125,1.667,6,1,TRUE
2023 01 17,12,13.5,33254.5,33254.5625,1,4,1,TRUE
2023 01 17,18,19.5,33254.75,33254.8125,0,0,1,TRUE
2023 01 18,0,1.5,33255,33255.0625,4,27,1,TRUE
2023 01 18,6,7.5,33255.25,33255.3125,3.333,18,1,TRUE
2023 01 18,12,13.5,33255.5,33255.5625,2.667,12,1,TRUE
2023 01 18,18,19.5,33255.75,33255.8125,1.667,6,1,TRUE
2023 01 19,0,1.5,33256,33256.0625,0,0,1,TRUE
2023 01 19,6,7.5,33256.25,33256.3125,2.667,12,1,TRUE
2023 01 19,12,13.5,33256.5,33256.5625,2.333,9,1,TRUE
2023 01 19,18,19.5,33256.75,33256.8125,0.667,3,1,TRUE
2023 01 20,0,1.5,33257,33257.0625,1,4,1,TRUE
2023 01 20,6,7.5,33257.25,33257.3125,0,0,1,TRUE
2023 01 20,12,13.5,33257.5,33257.5625,1.667,6,1,TRUE
2023 01 20,18,19.5,33257.75,33257.8125,1.333,5,1,TRUE
2023 01 21,0,1.5,33258,33258.0625,2.333,9,1,TRUE
2023 01 21,6,7.5,33258.25,33258.3125,4,27,1,TRUE
