Timestamp,Time,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
1/1/2023,0:00:00,1,4.92,4.53,5.82,-3.57,-4.75,1.81,1.62,-3.39,5.67,0.3,-4.56,3.36,152.97,63.93,258.26,3.66,-62.89,43.43,11.96,10.26,15.51,557,545,605.2,542991,453029,754507
1/1/2023,6:00:00,1,4.82,4.56,5.16,-3.48,-4.85,1.17,1.69,-2.56,4.79,-0.15,-4.74,3.95,157.16,71.94,226.01,-1.79,-72.97,56.06,11.09,9.85,12.38,548.3,519.3,576.7,464296,320332,616560
1/1/2023,12:00:00,1,4.71,4.21,5.15,-2.64,-4.65,2.49,3.06,-1.58,4.74,-1.05,-3.91,2.16,128.99,55.79,199.68,-12.54,-52.63,29.51,9.99,9.48,12.29,532.7,512.3,562.4,322532,300925,516750
1/1/2023,18:00:00,1,4.84,3.49,5.41,-1.1,-4.68,2.61,2.46,-1.19,4.65,-2.84,-5.03,2.66,114.03,32.26,198.83,-37.68,-74.61,38.02,9.44,7.5,11.71,527.2,489.4,542,314963,221218,477518
1/2/2023,0:00:00,1,4.48,3.97,5.21,-2.5,-4.13,2.68,2.67,-0.55,4.92,0.22,-3.83,3.83,127.88,46.57,187.79,3.04,-55.55,56.88,8.96,7.03,11.28,508.1,486.7,536.1,293298,199120,473128
1/2/2023,6:00:00,1,3.74,2.06,4.21,-1.24,-3.82,3.05,1.2,-2.72,2.92,-0.58,-3.39,2.54,136.6,5.61,353.15,-9.83,-68.89,52.14,7.01,5.45,9.13,489.6,463.5,515.7,206853,161136,317681
1/2/2023,12:00:00,1,3.37,1.75,4.35,-1.08,-3.07,2.58,1.96,-2.5,3.67,-0.02,-3.8,2.48,109.94,10.83,352.66,-0.45,-72.6,42.35,5.7,4.26,7.65,443.9,418.5,492.8,152465,74947,244178
1/2/2023,18:00:00,1,3.61,1.7,4.65,1.14,-2.49,2.95,1.52,-2.35,3.67,-2.21,-4.17,4.11,56.11,2.48,359.56,-36.92,-77.33,68.4,6.08,4.98,7.8,439.9,421.7,459.6,133614,75460,166919
1/3/2023,0:00:00,1,3.6,2.15,4.06,-1.77,-3.53,1.62,2.08,-1.35,3.76,1.25,-2.09,3.06,129.64,61.92,208.84,21.65,-41.74,58.38,4.54,3.28,6.97,425,415.1,443.7,98148,76645,171233
1/3/2023,6:00:00,1,3.02,1.76,3.56,-1.28,-2.68,2.08,2.28,-1.21,3.17,-1.42,-3.28,0.62,117.79,33.82,337.99,-28.02,-72.3,14.02,3.26,2.55,4.95,415,406.3,429.5,90279,73778,220533
1/3/2023,12:00:00,1,5.06,1.86,7.87,0.73,-4.31,4.51,1.25,-5.37,6.91,-2.96,-7.59,5.07,78.69,5.46,355.58,-33.56,-81.1,48.28,4.17,2.45,8.09,408.3,399.4,419.6,79547,60341,151692
1/3/2023,18:00:00,1,6.79,3.82,13.3,4.46,-1,6.84,4.41,-0.02,11.47,-0.61,-7.81,4.12,48.19,4.6,110.54,-4.57,-56.85,37.71,11.67,5.97,17.76,428.6,407.1,450.7,98691,30141,143325
1/4/2023,0:00:00,1,13.41,9.88,17.62,-0.77,-2.65,6.59,9.16,2.64,15.1,-10.69,-12.39,1.91,85.6,51.19,106.19,-41.53,-76.98,10.07,5.79,4.72,21.25,426.6,414.9,447.7,72811,27105,148093
1/4/2023,6:00:00,1,18.84,17.67,19.14,-0.61,-3.33,0.56,18.51,14.16,19.13,0.53,-10.91,6.64,92.61,87.88,102.37,1.6,-37.19,20.81,6.77,3.63,10.07,413.3,391.3,436.8,38110,5000,119390
1/4/2023,12:00:00,1,15.96,14.56,18.24,1.03,-5.24,6.47,5.94,-0.9,15.06,14.35,3.12,16.46,81.93,10.04,189.39,66.7,12.24,79.55,17.38,5.08,29.62,396.2,366.2,421.3,21995,10660,72244
1/4/2023,18:00:00,1,16.98,16.03,17.6,1.88,-1.01,6.21,-7.06,-13.02,1.69,15.58,10.04,16.76,298.58,1.2,355.79,63.88,37.61,83.57,10.93,8.55,18.59,382.7,369.4,400.8,17316,10190,49517
1/5/2023,0:00:00,1,18.89,16.6,20.04,1.14,-0.95,2.34,-14.46,-17.13,-10.24,11.88,8.84,14.52,274.16,265.28,279.73,40.7,27.48,52.38,12.06,10.01,16.32,381.9,375.8,390.2,23930,16438,80693
1/5/2023,6:00:00,1,16.72,15.05,19.55,2.14,-0.24,4.21,-15.12,-17.46,-8.45,7.99,-12.71,14.09,278.89,269.12,289.53,25.6,-51.76,57.81,12.42,3.99,15.85,370.1,356.5,383.5,46905,23753,72334
1/5/2023,12:00:00,1,12.71,11.5,14.59,1.88,0.41,4.54,-10.81,-13.99,-8.13,-6.98,-9.58,-1.33,280.72,272.08,295.32,-31.24,-46.71,-5.44,4.79,2.67,11.04,364.1,352.4,378.4,69059,34064,142683
1/5/2023,18:00:00,1,10.82,7.56,12.05,2.06,-3.78,7.11,-8.31,-10.69,-2.91,-3.91,-10.36,6.13,278.15,219.34,312.2,-20.22,-73.16,51.97,5.64,0.25,8.67,446.3,248.8,511.4,300381,5000,919264
1/6/2023,0:00:00,1,9.84,7.41,11.12,0.43,-3.71,2.75,-8.65,-10.59,0.05,4.69,1.02,8.37,271.25,104.74,297.42,28.08,5.67,80.64,7.57,5.24,22.27,490.2,440.1,538,581021,294374,2391534
1/6/2023,6:00:00,1,11.38,8.27,12.35,0.43,-6.45,3.25,-10.66,-11.57,-1.1,3.82,-5.07,7.31,263.65,179.54,286.69,18.78,-28.78,65.38,8.23,4.56,17.23,490.3,420,534.6,616436,109019,1490037
